replicates,mean_of_each_column,fullname,generation,line,choosen
v2c,236.4615385,nsd_selection,3,2,
v3a,238.8333333,nsd_selection,3,3,
v3b,231.8333333,nsd_selection,3,3,
v3c,242.4,nsd_selection,3,3,
v4a,244.2,nsd_selection,3,4,
v4b,238,nsd_selection,3,4,
v4c,240,nsd_selection,3,4,
v5a,236.3333333,nsd_selection,3,5,
v5b,233.8,nsd_selection,3,5,
v5c,250,nsd_selection,3,5,
v6a,233.3846154,nsd_selection,3,6,
v6b,231.8571429,nsd_selection,3,6,
v6c,249,nsd_selection,3,6,
v7a,233.9333333,nsd_selection,3,7,
v7b,237.4814815,nsd_selection,3,7,
v7c,231.1052632,nsd_selection,3,7,
v8a,249.1428571,nsd_selection,3,8,
v8b,233.9714286,nsd_selection,3,8,
v8c,235.3,nsd_selection,3,8,
v9a,236.1818182,nsd_selection,3,9,
v9b,235.0740741,nsd_selection,3,9,
v9c,244,nsd_selection,3,9,
v10a,238.6923077,nsd_selection,3,10,
v10b,236.8571429,nsd_selection,3,10,
v10c,232.4285714,nsd_selection,3,10,
v1a,240.875,nsd_selection,4,1,
v1b,237.8,nsd_selection,4,1,
v1c,238.3076923,nsd_selection,4,1,
v2a,237.5,nsd_selection,4,2,
v2b,233.5,nsd_selection,4,2,
v2c,245.2857143,nsd_selection,4,2,
v3a,234.3,nsd_selection,4,3,
v3b,233.1111111,nsd_selection,4,3,
v3c,243.8333333,nsd_selection,4,3,
v4a,240.375,nsd_selection,4,4,
v4b,239.4285714,nsd_selection,4,4,
v4c,242.75,nsd_selection,4,4,
v5a,239,nsd_selection,4,5,
v5b,238.2,nsd_selection,4,5,
v5c,236.6666667,nsd_selection,4,5,
v6a,239,nsd_selection,4,6,
v6b,241.0526316,nsd_selection,4,6,
v6c,243.125,nsd_selection,4,6,
v7a,235.6666667,nsd_selection,4,7,
v7b,242.0833333,nsd_selection,4,7,
v7c,242.1666667,nsd_selection,4,7,
v8a,233.3333333,nsd_selection,4,8,
v8b,232.8333333,nsd_selection,4,8,
v8c,243.9090909,nsd_selection,4,8,
v9a,232.1428571,nsd_selection,4,9,
v9b,232.375,nsd_selection,4,9,
v9c,238.125,nsd_selection,4,9,
v10a,246.7142857,nsd_selection,4,10,
v10b,246.625,nsd_selection,4,10,
v10c,240.3333333,nsd_selection,4,10,
v1a,236.2,nsd_selection,5,1,
v1b,233.24,nsd_selection,5,1,
v1c,239.2857143,nsd_selection,5,1,
v2a,234.3939394,nsd_selection,5,2,
v2b,240,nsd_selection,5,2,
v2c,237.9375,nsd_selection,5,2,
v3a,229.1176471,nsd_selection,5,3,
v3b,227.8571429,nsd_selection,5,3,
v3c,236.0833333,nsd_selection,5,3,
v4a,232.7826087,nsd_selection,5,4,
v4b,237.1481481,nsd_selection,5,4,
v4c,233.125,nsd_selection,5,4,
v5a,234.8,nsd_selection,5,5,
v5b,240.3333333,nsd_selection,5,5,
v5c,239.55,nsd_selection,5,5,
v6a,236.1363636,nsd_selection,5,6,
v6b,238.5333333,nsd_selection,5,6,
v6c,231.9642857,nsd_selection,5,6,
v7a,232.4230769,nsd_selection,5,7,
v7b,238.1304348,nsd_selection,5,7,
v7c,240.5454545,nsd_selection,5,7,
v8a,239.1333333,nsd_selection,5,8,
v8b,239.5,nsd_selection,5,8,
v8c,236.8846154,nsd_selection,5,8,
v9a,235.3703704,nsd_selection,5,9,
v9b,235.65,nsd_selection,5,9,
v9c,237.3888889,nsd_selection,5,9,
v10a,236.0555556,nsd_selection,5,10,
v10b,233.6666667,nsd_selection,5,10,
v10c,237.6315789,nsd_selection,5,10,
